고유번호,구명,품계수종,수고,관리등급,위치,환경영향,전정,도로길이,구번호,전선유무,순번,품계활력,흉고지름,품계위치,수관너비,현존유무,관리기관,피해정도,주변토지사용상태,방재,관리방안,수목고유번호,차선수,보호덮개,가로명,가치등급,품계흉고,수목명,경도,위도
7507,중구,8,24,1,대한항공,0.00E+00, ,0.00E+00,2,2,20,8,30,12,8,0,공원녹지과,2,0, ,0.00E+00,2-서소문로-가-0020,0.00E+00,1,서소문로,0.00E+00,6,은행나무,126.9742346,37.5632611
7508,중구,8,28,1,한국은행,0.00E+00, ,0.00E+00,2,2,54,8,35,9,14,0,공원녹지과,2,0, ,0.00E+00,2-소공길-가-0054,0.00E+00,1,소공길,0.00E+00,9,은행나무,126.9804443,37.562737
7509,중구,4,8,2,한양공고,0.00E+00,219,0.00E+00,2,2,4,8,15,12,6,0,공원녹지과,2,0,2010. 진딧물 및 흰불나방 등 지상방제,0.00E+00,2-을지로-가-0004,0.00E+00,1,을지로,0.00E+00,6,회화나무,127.0106635,37.565203
7510,중구,8,20,1,역전빌딩,0.00E+00, ,0.00E+00,2,2,312,8,30,12,8,0,공원녹지과,2,0, ,0.00E+00,2-퇴계로-가-0312,0.00E+00,1,퇴계로,0.00E+00,6,은행나무,126.9768804,37.5575094
7511,중구,8,13,1,남산육교,0.00E+00, ,0.00E+00,2,2,268,8,36,12,10,0,공원녹지과,2,0,2010.흡즙성해충종합방제,0.00E+00,2-퇴계로-가-0268,0.00E+00,1,퇴계로,0.00E+00,9,소나무,126.9751192,37.5567862
7548,중구,8,21,1,파라다이스,0.00E+00, ,0.00E+00,2,2,89,8,22,12,8,0,공원녹지과,2,0, ,0.00E+00,2-훈련원로-가-0089,0.00E+00,1,훈련원로,0.00E+00,6,은행나무,127.0029602,37.5606353
7549,중구,8,13,2,프레스센터,0.00E+00, ,0.00E+00,2,2,158,6,25,12,6,0,공원녹지과,2,0, ,0.00E+00,2-태평로-가-0158,0.00E+00,1,태평로,0.00E+00,6,은행나무,126.9773144,37.5680941
7550,중구,8,7,3,서울특별시별관,0.00E+00, ,0.00E+00,2,2,284,8,18,3,14,0,공원녹지과,2,0,2010. 진딧물 방제,0.00E+00,2-덕수궁길-가-0280,0.00E+00,1,덕수궁길,0.00E+00,3,느티나무,126.9758407,37.5648477
7551,중구,4,10,1, ,0.00E+00, ,0.00E+00,2,1,122,8,25,12,6,0,공원녹지과,2,0,2010.흡즙성해충종합방제,0.00E+00,2-왕십리길-가-00122,0.00E+00,2,왕십리길,0.00E+00,9,소나무,127.0143648,37.5650463
7636,중구,8,12,2,봉래초교,0.00E+00, ,0.00E+00,2,1,62,8,29,9,7,0,공원녹지과,2,0, ,0.00E+00,2-만리재길-가-0062,0.00E+00,1,만리재길,0.00E+00,6,은행나무,126.9648836,37.5536816
7637,중구,8,7,2, ,0.00E+00, ,0.00E+00,2,2,183,8,20,12,6,0,공원녹지과,2,0, ,0.00E+00,2-왕십리길-가-0208,0.00E+00,1,왕십리길,0.00E+00,3,은행나무,127.0266087,37.5649467
7638,중구,8,14,1,연세빌딩,0.00E+00, ,0.00E+00,2,2,6,8,24,12,7,0,공원녹지과,2,0, ,0.00E+00,2-남대문로-가-0006,0.00E+00,1,남대문로,0.00E+00,6,은행나무,126.9730228,37.5569736
7639,중구,6,12,2,동양화학빌딩,0.00E+00, ,0.00E+00,2,2,4,8,26,9,9,0,공원녹지과,2,0, ,0.00E+00,2-소공길-가-0004,0.00E+00,2,소공길,0.00E+00,9,은행나무,126.9804258,37.5630741
7640,중구,8,10,2,남산,0.00E+00, ,0.00E+00,2,2,134,8,10,12,4,0,공원녹지과,2,0, ,0.00E+00,2-소파길-가-0134,0.00E+00,1,소파길,0.00E+00,3,은행나무,126.9783908,37.5562353
7641,중구,8,18,1,한국은행,0.00E+00, ,0.00E+00,2,2,12,8,24,12,7,0,공원녹지과,2,0, ,0.00E+00,2-태평로-가-0012,0.00E+00,1,태평로,0.00E+00,6,은행나무,126.9761923,37.5614083
7424,중구,8,10,2,만리치안센터,0.00E+00, ,0.00E+00,2,1,62,8,20,6,4,0,공원녹지과,0.00E+00,0,2010. 흡즙성및천공성 해충종합방제,0.00E+00,2-만리재길-가-0062,0.00E+00,1,만리재길,0.00E+00,6,소나무,126.9655888,37.554162
7425,중구,8,10,2,KCC파크타운,0.00E+00, ,0.00E+00,2,1,50,8,20,6,4,0,공원녹지과,0.00E+00,0,2010. 흡즙성및천공성 해충종합방제,0.00E+00,2-만리재길-가-0050,0.00E+00,1,만리재길,0.00E+00,6,소나무,126.9667876,37.5545857
7426,중구,8,10,2,만리치안센터,0.00E+00, ,0.00E+00,2,1,63,8,20,6,4,0,공원녹지과,0.00E+00,0,2010. 흡즙성및천공성 해충종합방제,0.00E+00,2-만리재길-가-0063,0.00E+00,1,만리재길,0.00E+00,6,소나무,126.9655501,37.5541356
7427,중구,8,10,2,KCC파크타운,0.00E+00, ,0.00E+00,2,1,51,8,20,6,4,0,공원녹지과,0.00E+00,0,2010. 흡즙성및천공성 해충종합방제,0.00E+00,2-만리재길-가-0051,0.00E+00,1,만리재길,0.00E+00,6,소나무,126.9667516,37.5545746
7428,중구,8,10,2, ,0.00E+00, ,0.00E+00,2,1,59,8,20,6,4,0,공원녹지과,0.00E+00,0,2010. 흡즙성및천공성 해충종합방제,0.00E+00,2-만리재길-가-0059,0.00E+00,1,만리재길,0.00E+00,6,소나무,126.9658131,37.5542745
