고유번호,구명,품계수종,수고,관리등급,위치,구번호,전선유무,순번,품계활력,흉고지름,품계위치,수관너비,관리기관,수목고유번호,보호덮개,가로명,품계흉고,수목명,경도,위도,피해정도
1793,중구,8,4,2,덕수궁돌담길,2,2,40,8,14,6,4,공원녹지과,2-덕수궁길-가-0040,1,덕수궁길,3,느티나무,126.9739792,37.5649013,2
1794,중구,8,10,1,길도빌딩,2,2,12,8,30,12,7,공원녹지과,2-새문안길-가-0012,1,새문안길,6,은행나무,126.968816,37.5677274,2
1795,중구,4,6,1, ,2,2,43,8,20,12,6,공원녹지과,2-청계천로-가-0033,1,청계천로,12,느티나무,127.0005494,37.5691953,2
1796,중구,4,12,2,퍼시스,2,1,108,8,15,9,8,공원녹지과,2-배오개길-가-0108,1,배오개길,6,은행나무,126.9982073,37.564587,2
1797,중구,4,10,2,중앙일보,2,2,27,8,25,9,5,공원녹지과,2-숭례성터길-가-027,1,숭례성터길,9,소나무,126.9718494,37.5613373,0.00E+00
1798,중구,4,10,2,삼성중공업,2,2,70,8,25,9,5,공원녹지과,2-숭례성터길-가-070,1,숭례성터길,9,소나무,126.9726806,37.5600369,0.00E+00
1799,중구,8,10,2,신한은행,2,2,396,8,26,6,5,공원녹지과,2-태평로-가-0396,1,태평로,6,소나무,126.9748192,37.5607744,0.00E+00
1800,중구,8,8,1,신세계백화점,2,2,134,8,25,12,4,공원녹지과,2-남대문로-가-0134,1,남대문로,12,소나무,126.9816122,37.5607613,0.00E+00
1801,중구,8,14,1,남정빌딩,2,1,67,8,26,12,8,공원녹지과,2-남대문로-가-0067,2,남대문로,6,은행나무,126.9761132,37.5601604,2
1802,중구,4,19,1,한국은행,2,2,303,8,47,12,7,공원녹지과,2-남대문로-가-0309,1,남대문로,12,양버즘나무,126.9796302,37.5614758,2
1803,중구,4,10,2,삼성중공업,2,2,97,8,25,9,5,공원녹지과,2-숭례성터길-가-097,1,숭례성터길,9,소나무,126.97274,37.5609137,0.00E+00
1804,중구,4,10,2,삼성중공업,2,2,94,8,25,9,5,공원녹지과,2-숭례성터길-가-094,1,숭례성터길,9,소나무,126.9725237,37.5611539,0.00E+00
1805,중구,4,10,2,포스코,2,2,56,8,25,9,5,공원녹지과,2-숭례성터길-가-056,1,숭례성터길,9,소나무,126.9719292,37.5609046,0.00E+00
1806,중구,4,10,2,삼성중공업,2,2,84,8,25,9,5,공원녹지과,2-숭례성터길-가-084,1,숭례성터길,9,소나무,126.9719462,37.5610632,0.00E+00
1807,중구,4,10,2,STX 본사,2,1,35,8,25,9,5,공원녹지과,2-후암동길-가-0035,1,후암동길,9,소나무,126.9748457,37.5535734,0.00E+00
1808,중구,8,21,1,우리은행,2,2,179,8,33,12,10,공원녹지과,2-남대문로-가-0185,2,남대문로,9,은행나무,126.9828937,37.5675851,2
1809,중구,8,15,1,외환은행,2,2,343,8,22,12,8,공원녹지과,2-을지로-가-0343,1,을지로,6,은행나무,126.9842356,37.5659166,2
1810,중구,4,6,1, ,2,2,43,8,20,12,6,공원녹지과,2-청계천로-가-0058,1,청계천로,12,느티나무,126.9974137,37.5686014,2
1811,중구,4,12,1,대성가구,2,2,49,8,15,9,8,공원녹지과,2-배오개길-가-0049,1,배오개길,12,은행나무,126.9983048,37.5659586,2
1812,중구,4,6,1, ,2,2,43,8,20,12,6,공원녹지과,2-청계천로-가-0081,1,청계천로,12,느티나무,126.9939251,37.5682984,2
